,Celcius,Fahrenheit,Humidity
2020-03-12 23:31:19.866072+00:00,16.299999237060547,61.33999862670898,45.29999923706055
2020-03-12 23:32:20.453116+00:00,16.200000762939453,61.16000137329102,45.29999923706055
2020-03-12 23:33:23.568380+00:00,16.100000381469727,60.98000068664551,46.099998474121094
2020-03-12 23:34:24.155405+00:00,16.100000381469727,60.98000068664551,46.20000076293945
2020-03-12 23:35:27.273166+00:00,16.100000381469727,60.98000068664551,45.400001525878906
2020-03-12 23:36:27.849410+00:00,16.100000381469727,60.98000068664551,45.400001525878906
2020-03-12 23:37:28.404996+00:00,16.100000381469727,60.98000068664551,45.900001525878906
2020-03-12 23:38:31.513675+00:00,16.0,60.8,45.70000076293945
2020-03-12 23:39:32.100623+00:00,16.0,60.8,45.599998474121094
2020-03-12 23:40:35.222611+00:00,16.100000381469727,60.98000068664551,46.0
2020-03-12 23:41:38.278255+00:00,16.100000381469727,60.98000068664551,45.79999923706055
2020-03-12 23:42:38.844034+00:00,16.0,60.8,45.900001525878906
2020-03-12 23:43:39.431045+00:00,16.200000762939453,61.16000137329102,45.70000076293945
2020-03-12 23:44:39.976062+00:00,16.299999237060547,61.33999862670898,45.099998474121094
2020-03-12 23:45:40.553737+00:00,16.200000762939453,61.16000137329102,45.5
2020-03-12 23:46:43.633126+00:00,16.299999237060547,61.33999862670898,46.0
2020-03-12 23:47:44.202157+00:00,16.200000762939453,61.16000137329102,45.70000076293945
2020-03-12 23:48:47.317298+00:00,16.200000762939453,61.16000137329102,45.70000076293945
2020-03-12 23:49:50.389533+00:00,16.100000381469727,60.98000068664551,45.70000076293945
2020-03-12 23:50:50.975867+00:00,16.100000381469727,60.98000068664551,45.900001525878906
2020-03-12 23:51:51.554908+00:00,16.100000381469727,60.98000068664551,45.70000076293945
2020-03-12 23:52:52.103101+00:00,16.0,60.8,46.099998474121094
2020-03-12 23:53:52.690070+00:00,16.0,60.8,46.599998474121094
2020-03-12 23:54:53.246134+00:00,16.200000762939453,61.16000137329102,46.599998474121094
2020-03-12 23:55:58.855858+00:00,16.100000381469727,60.98000068664551,45.599998474121094
2020-03-12 23:56:59.413653+00:00,16.100000381469727,60.98000068664551,45.599998474121094
2020-03-12 23:58:00.000832+00:00,16.100000381469727,60.98000068664551,47.0
2020-03-12 23:59:00.588085+00:00,16.100000381469727,60.98000068664551,47.400001525878906
2020-03-13 00:00:01.175531+00:00,16.100000381469727,60.98000068664551,47.5
2020-03-13 00:01:01.762811+00:00,16.100000381469727,60.98000068664551,47.599998474121094
2020-03-13 00:02:04.837875+00:00,16.100000381469727,60.98000068664551,46.599998474121094
2020-03-13 00:03:05.403496+00:00,16.100000381469727,60.98000068664551,46.5
2020-03-13 00:04:05.985119+00:00,16.0,60.8,47.0
2020-03-13 00:05:09.100562+00:00,15.899999618530273,60.61999931335449,46.79999923706055
2020-03-13 00:06:12.182932+00:00,15.800000190734863,60.44000034332275,46.900001525878906
2020-03-13 00:07:15.298488+00:00,15.800000190734863,60.44000034332275,47.400001525878906
2020-03-13 00:08:15.845035+00:00,15.699999809265137,60.259999656677245,47.400001525878906
2020-03-13 00:09:16.424358+00:00,15.699999809265137,60.259999656677245,47.29999923706055
2020-03-13 00:10:16.974830+00:00,15.800000190734863,60.44000034332275,47.400001525878906
2020-03-13 00:11:22.574626+00:00,15.699999809265137,60.259999656677245,47.29999923706055
2020-03-13 00:12:23.163730+00:00,15.699999809265137,60.259999656677245,47.20000076293945
2020-03-13 00:13:26.284673+00:00,15.699999809265137,60.259999656677245,47.599998474121094
2020-03-13 00:14:26.873953+00:00,15.699999809265137,60.259999656677245,47.599998474121094
2020-03-13 00:15:29.991195+00:00,15.699999809265137,60.259999656677245,47.599998474121094
2020-03-13 00:16:30.527421+00:00,15.600000381469727,60.080000686645505,47.599998474121094
2020-03-13 00:17:33.593450+00:00,15.699999809265137,60.259999656677245,47.79999923706055
2020-03-13 00:18:36.683520+00:00,15.699999809265137,60.259999656677245,48.0
2020-03-13 00:19:37.235062+00:00,15.699999809265137,60.259999656677245,48.0
2020-03-13 00:20:37.823972+00:00,15.699999809265137,60.259999656677245,48.20000076293945
2020-03-13 00:21:38.408255+00:00,15.600000381469727,60.080000686645505,47.400001525878906
2020-03-13 00:22:38.994169+00:00,15.600000381469727,60.080000686645505,48.20000076293945
2020-03-13 00:23:42.073772+00:00,15.600000381469727,60.080000686645505,48.70000076293945
2020-03-13 00:24:45.135253+00:00,15.600000381469727,60.080000686645505,48.20000076293945
2020-03-13 00:25:48.223041+00:00,15.600000381469727,60.080000686645505,48.29999923706055
2020-03-13 00:26:48.789835+00:00,15.600000381469727,60.080000686645505,48.20000076293945
2020-03-13 00:27:49.376834+00:00,15.699999809265137,60.259999656677245,48.400001525878906
2020-03-13 00:28:52.453950+00:00,15.699999809265137,60.259999656677245,48.29999923706055
2020-03-13 00:29:55.537597+00:00,15.699999809265137,60.259999656677245,48.0
2020-03-13 00:30:56.125008+00:00,15.600000381469727,60.080000686645505,47.79999923706055
2020-03-13 00:31:59.240655+00:00,15.699999809265137,60.259999656677245,48.599998474121094
2020-03-13 00:33:04.887098+00:00,15.699999809265137,60.259999656677245,48.0
2020-03-13 00:34:05.474387+00:00,15.600000381469727,60.080000686645505,48.0
2020-03-13 00:35:06.049851+00:00,15.699999809265137,60.259999656677245,48.5
2020-03-13 00:36:06.605037+00:00,15.699999809265137,60.259999656677245,48.5
2020-03-13 00:37:07.173981+00:00,15.699999809265137,60.259999656677245,48.599998474121094
2020-03-13 00:38:07.748718+00:00,15.699999809265137,60.259999656677245,48.099998474121094
2020-03-13 00:39:08.334960+00:00,15.800000190734863,60.44000034332275,47.79999923706055
2020-03-13 00:40:11.450215+00:00,15.600000381469727,60.080000686645505,48.79999923706055
2020-03-13 00:41:12.037394+00:00,15.600000381469727,60.080000686645505,48.599998474121094
2020-03-13 00:42:12.624779+00:00,15.699999809265137,60.259999656677245,48.099998474121094
2020-03-13 00:43:18.238748+00:00,15.800000190734863,60.44000034332275,47.70000076293945
2020-03-13 00:44:18.825247+00:00,15.899999618530273,60.61999931335449,47.79999923706055
2020-03-13 00:45:19.412575+00:00,15.800000190734863,60.44000034332275,47.599998474121094
2020-03-13 00:46:19.940729+00:00,15.800000190734863,60.44000034332275,48.599998474121094
2020-03-13 00:47:20.473326+00:00,15.699999809265137,60.259999656677245,47.79999923706055
2020-03-13 00:48:21.015055+00:00,15.800000190734863,60.44000034332275,49.0
2020-03-13 00:49:24.130485+00:00,15.899999618530273,60.61999931335449,48.29999923706055
2020-03-13 00:50:24.717338+00:00,16.0,60.8,48.0
2020-03-13 00:51:27.833061+00:00,15.899999618530273,60.61999931335449,48.20000076293945
2020-03-13 00:52:30.948683+00:00,15.699999809265137,60.259999656677245,47.5
2020-03-13 00:53:31.488698+00:00,15.699999809265137,60.259999656677245,47.79999923706055
2020-03-13 00:54:32.075795+00:00,15.600000381469727,60.080000686645505,48.29999923706055
2020-03-13 00:55:32.614213+00:00,15.5,59.9,49.0
2020-03-13 00:56:35.729571+00:00,15.600000381469727,60.080000686645505,48.79999923706055
2020-03-13 00:57:36.310804+00:00,15.600000381469727,60.080000686645505,48.599998474121094
2020-03-13 00:58:36.854999+00:00,15.699999809265137,60.259999656677245,48.5
2020-03-13 00:59:39.970125+00:00,15.699999809265137,60.259999656677245,48.79999923706055
2020-03-13 01:00:40.537053+00:00,15.699999809265137,60.259999656677245,48.70000076293945
2020-03-13 01:01:41.124147+00:00,15.600000381469727,60.080000686645505,48.29999923706055
2020-03-13 01:02:41.684828+00:00,15.600000381469727,60.080000686645505,48.400001525878906
2020-03-13 01:03:44.796840+00:00,15.800000190734863,60.44000034332275,48.0
2020-03-13 01:04:45.378115+00:00,15.800000190734863,60.44000034332275,47.70000076293945
2020-03-13 01:05:45.965116+00:00,15.699999809265137,60.259999656677245,48.099998474121094
2020-03-13 01:06:46.545012+00:00,15.699999809265137,60.259999656677245,48.0
2020-03-13 01:07:49.660540+00:00,15.800000190734863,60.44000034332275,47.79999923706055
2020-03-13 01:08:50.225027+00:00,15.699999809265137,60.259999656677245,47.79999923706055
2020-03-13 01:09:50.813132+00:00,15.800000190734863,60.44000034332275,47.5
2020-03-13 01:10:51.397638+00:00,15.699999809265137,60.259999656677245,48.099998474121094
2020-03-13 01:11:51.986900+00:00,15.699999809265137,60.259999656677245,47.599998474121094
2020-03-13 01:12:52.576059+00:00,15.699999809265137,60.259999656677245,50.0
2020-03-13 01:13:53.165210+00:00,15.800000190734863,60.44000034332275,48.099998474121094
2020-03-13 01:14:56.270631+00:00,15.699999809265137,60.259999656677245,47.29999923706055
2020-03-13 01:15:56.859779+00:00,15.699999809265137,60.259999656677245,47.29999923706055
2020-03-13 01:16:57.448926+00:00,15.600000381469727,60.080000686645505,47.5
2020-03-13 01:18:00.566362+00:00,15.5,59.9,47.900001525878906
2020-03-13 01:19:08.728736+00:00,15.399999618530273,59.71999931335449,47.5
2020-03-13 01:20:09.305080+00:00,15.399999618530273,59.71999931335449,47.5
2020-03-13 01:21:09.894450+00:00,15.399999618530273,59.71999931335449,47.900001525878906
2020-03-13 01:22:10.483858+00:00,15.5,59.9,47.900001525878906
2020-03-13 01:23:11.072926+00:00,15.5,59.9,47.400001525878906
2020-03-13 01:24:14.141637+00:00,15.5,59.9,47.29999923706055
2020-03-13 01:25:17.218431+00:00,15.699999809265137,60.259999656677245,48.0
2020-03-13 01:26:17.780769+00:00,15.600000381469727,60.080000686645505,47.70000076293945
2020-03-13 01:27:18.367911+00:00,15.699999809265137,60.259999656677245,47.0
2020-03-13 01:28:18.914909+00:00,15.5,59.9,47.29999923706055
2020-03-13 01:29:19.502118+00:00,15.399999618530273,59.71999931335449,47.70000076293945
2020-03-13 01:30:20.060894+00:00,15.5,59.9,47.900001525878906
2020-03-13 01:31:20.645019+00:00,15.5,59.9,47.599998474121094
2020-03-13 01:32:21.201653+00:00,15.399999618530273,59.71999931335449,47.599998474121094
2020-03-13 01:33:21.788791+00:00,15.399999618530273,59.71999931335449,48.0
2020-03-13 01:34:24.869153+00:00,15.300000190734863,59.54000034332275,48.099998474121094
2020-03-13 01:35:27.938350+00:00,15.199999809265137,59.359999656677246,48.400001525878906
2020-03-13 01:36:31.027528+00:00,15.300000190734863,59.54000034332275,48.20000076293945
2020-03-13 01:37:31.605120+00:00,15.300000190734863,59.54000034332275,48.099998474121094
2020-03-13 01:38:32.192488+00:00,15.300000190734863,59.54000034332275,47.599998474121094
2020-03-13 01:39:32.779740+00:00,15.199999809265137,59.359999656677246,47.79999923706055
2020-03-13 01:40:35.892884+00:00,15.199999809265137,59.359999656677246,48.20000076293945
2020-03-13 01:41:36.480129+00:00,15.199999809265137,59.359999656677246,48.29999923706055
2020-03-13 01:42:39.568325+00:00,15.300000190734863,59.54000034332275,48.29999923706055
2020-03-13 01:43:42.637459+00:00,15.399999618530273,59.71999931335449,47.400001525878906
2020-03-13 01:44:43.224719+00:00,15.399999618530273,59.71999931335449,47.29999923706055
2020-03-13 01:45:43.761174+00:00,15.399999618530273,59.71999931335449,47.5
2020-03-13 01:46:44.348424+00:00,15.399999618530273,59.71999931335449,47.20000076293945
2020-03-13 01:47:49.974431+00:00,15.300000190734863,59.54000034332275,47.79999923706055
2020-03-13 01:48:50.549561+00:00,15.300000190734863,59.54000034332275,48.0
2020-03-13 01:49:51.118025+00:00,15.300000190734863,59.54000034332275,48.20000076293945
2020-03-13 01:50:54.234090+00:00,15.399999618530273,59.71999931335449,47.900001525878906
2020-03-13 01:51:57.349801+00:00,15.399999618530273,59.71999931335449,48.5
2020-03-13 01:52:57.894727+00:00,15.399999618530273,59.71999931335449,48.70000076293945
2020-03-13 01:53:58.481917+00:00,15.399999618530273,59.71999931335449,48.0
2020-03-13 01:54:59.045103+00:00,15.199999809265137,59.359999656677246,47.70000076293945
2020-03-13 01:55:59.632247+00:00,15.300000190734863,59.54000034332275,50.599998474121094
2020-03-13 01:57:00.219370+00:00,15.399999618530273,59.71999931335449,49.29999923706055
2020-03-13 01:58:00.806603+00:00,15.5,59.9,49.400001525878906
2020-03-13 01:59:01.354950+00:00,15.399999618530273,59.71999931335449,48.5
2020-03-13 02:00:01.942463+00:00,15.399999618530273,59.71999931335449,49.5
2020-03-13 02:01:02.529368+00:00,15.399999618530273,59.71999931335449,51.599998474121094
2020-03-13 02:02:03.114944+00:00,15.399999618530273,59.71999931335449,48.70000076293945
2020-03-13 02:03:03.702701+00:00,15.399999618530273,59.71999931335449,47.79999923706055
2020-03-13 02:04:06.818026+00:00,15.399999618530273,59.71999931335449,49.900001525878906
2020-03-13 02:05:07.354866+00:00,15.300000190734863,59.54000034332275,49.79999923706055
2020-03-13 02:06:07.922285+00:00,15.300000190734863,59.54000034332275,49.79999923706055
2020-03-13 02:07:08.478283+00:00,15.399999618530273,59.71999931335449,49.099998474121094
2020-03-13 02:08:09.033975+00:00,15.300000190734863,59.54000034332275,48.70000076293945
2020-03-13 02:09:09.621298+00:00,15.300000190734863,59.54000034332275,48.29999923706055
2020-03-13 02:10:10.208381+00:00,15.399999618530273,59.71999931335449,48.900001525878906
2020-03-13 02:11:10.795609+00:00,15.300000190734863,59.54000034332275,48.0
2020-03-13 02:12:11.354925+00:00,15.300000190734863,59.54000034332275,49.0
2020-03-13 02:13:11.915094+00:00,15.199999809265137,59.359999656677246,49.599998474121094
2020-03-13 02:14:12.502441+00:00,15.300000190734863,59.54000034332275,47.900001525878906
